"76665","92853","5","_?_: usage","The last point of lecture;finding mistakes of java language","2015-09-18 10:47:00"
"35185","24399","10","if statements","comparing strings","2015-09-18 10:51:33"
"92853","76665","10",,,"2015-09-18 11:18:10"
"68261","null","7","Loops (if, while) ","Application of strings","2015-09-18 11:23:05"
"7890","null","10",,,"2015-09-18 11:25:17"
"null","7890","8",,,"2015-09-18 11:25:45"
"5031","64333","9",,,"2015-09-18 11:27:59"
"68221","17404","8",,,"2015-09-18 11:52:07"
"31987","64333","10","for loops","nothing","2015-09-18 12:18:50"
"12716","97334","9","the animation about roller coaster",,"2015-09-18 12:44:24"
"95321","14467","5","8",,"2015-09-18 13:05:26"
"88642","94308","10","debugging","instruction ustage","2015-09-18 13:25:25"
"94308","88642","10","loops","debugging","2015-09-18 13:26:25"
"79677","75843","10",,,"2015-09-18 13:27:03"
"13303","20736","10",,,"2015-09-18 13:27:56"
"23219","47030","10","if/for loop","ternary operator","2015-09-18 13:30:48"
"12950","37305","10","ternary operator","I cant see why iff would be useful","2015-09-18 13:39:10"
"37305","12950","10",,,"2015-09-18 13:40:03"
"18879","48860","10","Ternary operation","nothing","2015-09-18 13:47:38"
"48860","18879","10","I feel good about pretty much everything","i need to learn what each of the 5 recurring string methods do","2015-09-18 13:48:01"
"24087","37059","9",,,"2015-09-18 13:49:34"
"47030","23219","10",,,"2015-09-18 13:49:47"
"86831","86890","10",,,"2015-09-18 13:50:04"
"86890","86831","10",,,"2015-09-18 13:50:04"
"46167","5730","10",,,"2015-09-18 13:50:12"
"16621","30609","10",,,"2015-09-18 13:50:17"
"42560","14598","10",,,"2015-09-18 13:50:17"
"41481","4642","10",,,"2015-09-18 13:50:18"
"null","52640","10",,,"2015-09-18 13:50:19"
"14574","null","10","I feel good about everything.","Not really struggling with anything right now.","2015-09-18 13:50:19"
"30196","78155","10",,,"2015-09-18 13:50:19"
"77016","89351","8","ternary",,"2015-09-18 13:50:21"
"83332","62333","6","loops, scope, and conditional statements","ternary operations","2015-09-18 13:50:22"
"52640","null","10",,"what is indexOf?","2015-09-18 13:50:22"
"30609","null","10",,,"2015-09-18 13:50:24"
"46948","71736","10",,,"2015-09-18 13:50:25"
"71297","10126","10",,,"2015-09-18 13:50:26"
"28242","null","10",,,"2015-09-18 13:50:26"
"5730","46167","10",,,"2015-09-18 13:50:27"
"50438","57301","10",,,"2015-09-18 13:50:28"
"77875","147","10","Ternary operator","NA","2015-09-18 13:50:29"
"21864","95496","10","ternary operator",,"2015-09-18 13:50:30"
"24018","52893","8","Strings","Objects","2015-09-18 13:50:30"
"10126","71297","10",,,"2015-09-18 13:50:31"
"73926","98899","6",,,"2015-09-18 13:50:31"
"73479","64773","10",,,"2015-09-18 13:50:32"
"14598","17052","10",,,"2015-09-18 13:50:32"
"15913","73049","10",,,"2015-09-18 13:50:32"
"69264","36745","5","everything. (my partner is really smart too)",,"2015-09-18 13:50:32"
"353","11892","10",,,"2015-09-18 13:50:34"
"99742","6728","10","All of them","None","2015-09-18 13:50:34"
"11892","353","10",,,"2015-09-18 13:50:35"
"65680","24018","8",,,"2015-09-18 13:50:35"
"63334","5510","8",,,"2015-09-18 13:50:37"
"28062","4255","9","Ternary Operator","Using printf","2015-09-18 13:50:38"
"35528","57544","8",,,"2015-09-18 13:50:39"
"76388","92874","7","loops","strings","2015-09-18 13:50:40"
"24277","70442","3",,,"2015-09-18 13:50:40"
"73049","15913","10",,,"2015-09-18 13:50:40"
"63221","72799","7","ternaries, nesting","the statement corrections","2015-09-18 13:50:40"
"48141","97920","10","All of them!","None of them!","2015-09-18 13:50:40"
"57544","null","10",,,"2015-09-18 13:50:41"
"19983","15554","10",,,"2015-09-18 13:50:42"
"89351","77016","8",,,"2015-09-18 13:50:43"
"95496","21864","10",,,"2015-09-18 13:50:43"
"85197","67985","10",,,"2015-09-18 13:50:44"
"267","28242","10",,,"2015-09-18 13:50:44"
"1506","90660","10",,,"2015-09-18 13:50:44"
"62325","28237","10",,,"2015-09-18 13:50:44"
"68856","23379","8","Everything discussed today",,"2015-09-18 13:50:46"
"4642","41481","10","Ternary operators.",,"2015-09-18 13:50:47"
"31002","51327","10",,,"2015-09-18 13:50:47"
"36745","69264","7","scope, ternary",,"2015-09-18 13:50:47"
"98899","73926","8",,,"2015-09-18 13:50:47"
"71736","46948","10","Ternary Operations","Strings","2015-09-18 13:50:48"
"36333","75613","10","Stings,loops","none","2015-09-18 13:50:49"
"28237","62325","10",,,"2015-09-18 13:50:49"
"5510","63334","7","loops","mini vans functions","2015-09-18 13:50:50"
"3086","63213","10",,,"2015-09-18 13:50:50"
"5756","62669","9","Strings, ternary",,"2015-09-18 13:50:50"
"147","77875","10",,,"2015-09-18 13:50:51"
"80760","73723","7",,,"2015-09-18 13:50:51"
"10774","72641","10",,,"2015-09-18 13:50:52"
"62669","5756","10","I feel good about while loops/if statements.","Ternary Operators ","2015-09-18 13:50:52"
"57301","50438","10",,,"2015-09-18 13:50:52"
"92488","80901","10",,,"2015-09-18 13:50:52"
"27424","74708","5",,"ternary conditions ","2015-09-18 13:50:52"
"30380","44108","9","code blocks and binary","ternary operators","2015-09-18 13:50:53"
"67985","85197","10","fixing code syntax","ternary operators","2015-09-18 13:50:53"
"80901","92488","10",,,"2015-09-18 13:50:53"
"24131","28270","7","nested if statements",,"2015-09-18 13:50:55"
"51007","90517","10",,,"2015-09-18 13:50:56"
"7982","60585","10","algorithm development","ternary operator","2015-09-18 13:50:57"
"73723","80760","8",,,"2015-09-18 13:50:59"
"72799","63221","5","nesting, if statements","statement corrections, ternary operators","2015-09-18 13:51:00"
"15554","19983","10",,,"2015-09-18 13:51:00"
"4255","28062","10","All if it","None of it","2015-09-18 13:51:00"
"75613","36333","10","ternary operator","Heap memory","2015-09-18 13:51:01"
"90709","33575","10",,,"2015-09-18 13:51:01"
"72641","10774","10",,,"2015-09-18 13:51:01"
"32307","91952","10",,,"2015-09-18 13:51:02"
"47964","null","10","strings","ternary operators","2015-09-18 13:51:02"
"91952","32307","10",,,"2015-09-18 13:51:02"
"62333","83332","6","true and false statements","blocks and turnary operators","2015-09-18 13:51:02"
"90517","null","10",,,"2015-09-18 13:51:02"
"78155","30196","10",,,"2015-09-18 13:51:03"
"86683","null","10",,,"2015-09-18 13:51:04"
"92874","76388","10",,,"2015-09-18 13:51:04"
"44108","null","9","code blocks",,"2015-09-18 13:51:04"
"63213","3086","10",,,"2015-09-18 13:51:05"
"53703","null","10",,,"2015-09-18 13:51:07"
"null","50707","7",,,"2015-09-18 13:51:08"
